Epoch,Training Loss,Validation Loss,Training Top-1 Accuracy,Validation Top-1 Accuracy
1,3.9362901960100447,3.931496468683084,0.0234375,0.025490196078431372
2,3.8773880004882812,3.916399950782458,0.031529017857142856,0.05816993464052288
3,3.6188084738595143,3.8931721275051436,0.07142857142857142,0.12745098039215685
4,3.326505388532366,3.8393607921898365,0.11690848214285714,0.2235294117647059
5,3.0350819315229143,3.7602949688831964,0.18889508928571427,0.330718954248366
6,2.765090178166117,3.686800327152014,0.25753348214285715,0.3908496732026144
7,2.5369290379541263,3.6608658768236637,0.31668526785714285,0.3915032679738562
8,2.3675868633602346,3.6176513731479645,0.36104910714285715,0.4372549019607843
9,2.2049744687974453,3.5959319261213145,0.39927455357142855,0.45751633986928103
10,2.0936710962227414,3.5740314113597074,0.4302455357142857,0.4928104575163399
11,2.003585708992822,3.542017590254545,0.4428013392857143,0.503921568627451
12,1.8453036887305123,3.551967872927586,0.48521205357142855,0.49607843137254903
13,1.8345389626920223,3.518648851662874,0.5022321428571429,0.5183006535947713
14,1.7134613088731254,3.522259277602037,0.5256696428571429,0.49607843137254903
15,1.659659654168146,3.488010053833326,0.5376674107142857,0.5326797385620915
16,1.5998158465538705,3.4855189211666584,0.5493861607142857,0.545751633986928
17,1.5578432373170341,3.4735520407557487,0.5602678571428571,0.538562091503268
18,1.5047759653202124,3.4646662759284177,0.5809151785714286,0.5450980392156862
19,1.4075935248817717,3.469842697183291,0.6023995535714286,0.5339869281045752
20,1.3861075728865606,3.4667603510121503,0.6183035714285714,0.5490196078431373
21,1.3383248798283083,3.455087716380755,0.6283482142857143,0.5477124183006536
22,1.2950435477708067,3.4570430914560952,0.638671875,0.5535947712418301
23,1.2708482292613812,3.4556627199053764,0.6492745535714286,0.5490196078431373
24,1.2110887223056384,3.4505061296125255,0.6635044642857143,0.550326797385621
25,1.2211421464702912,3.45469285796086,0.6509486607142857,0.5450980392156862
26,1.1611134487071209,3.4481206350028515,0.6827566964285714,0.5411764705882353
27,1.1392263760124999,3.457367287327846,0.6819196428571429,0.5320261437908497
28,1.105082830347653,3.455671511590481,0.6922433035714286,0.5405228758169934
29,1.0584000645072333,3.4444351034859815,0.701171875,0.550326797385621
30,1.04697315408183,3.4450193718075752,0.6978236607142857,0.5372549019607843
31,1.0482047450329577,3.4310188802580037,0.6983816964285714,0.5620915032679739
32,1.0045019705181144,3.4412411712110043,0.7159598214285714,0.5516339869281046
33,0.9755813496386898,3.4219533875584602,0.7268415178571429,0.5673202614379085
34,0.9504381072308336,3.437950192640225,0.7349330357142857,0.5555555555555556
35,0.9535322262506399,3.4382516282300153,0.7349330357142857,0.5516339869281046
36,0.9117970897017845,3.424195796251297,0.7430245535714286,0.5620915032679739
37,0.8994842878476318,3.435704698165258,0.7421875,0.5522875816993464
38,0.8692539466345417,3.4267375208437443,0.7555803571428571,0.5647058823529412
39,0.8129626988167209,3.419579512129227,0.7686941964285714,0.5601307189542484
40,0.845220945908555,3.4137388740976653,0.7572544642857143,0.5679738562091503
41,0.7998719538362431,3.4130783515671888,0.76953125,0.5745098039215686
42,0.8081885434554091,3.4132721349596977,0.7779017857142857,0.5601307189542484
43,0.7895296935790351,3.4068666733801365,0.7818080357142857,0.5679738562091503
44,0.7693150435640875,3.3989949263632298,0.7857142857142857,0.5849673202614379
45,0.7276435447191554,3.40169612194101,0.7993861607142857,0.5764705882352941
46,0.7128961493394205,3.406873711695274,0.8002232142857143,0.5712418300653594
47,0.7796753707807511,3.4027123786509037,0.7801339285714286,0.5751633986928104
48,0.7090046675543168,3.403377614915371,0.8044084821428571,0.5758169934640522
49,0.7147680914162525,3.405075404793024,0.802734375,0.5718954248366013
50,0.7325248797756753,3.4036256335675716,0.80078125,0.5777777777777777
