Epoch,Training Loss,Validation Loss,Training Top-1 Accuracy,Validation Top-1 Accuracy
1,4.535265438520729,4.5977107142797236,0.022822445561139028,0.09199048374306107
2,3.3445206575058215,4.3297584565951,0.19765494137353434,0.46153846153846156
3,2.371080309502044,4.137905241823096,0.39813651591289784,0.6016389109172614
4,1.9452273216678868,4.011736952477228,0.4911013400335008,0.697594501718213
5,1.709035690805221,3.9703819298088927,0.5578936348408711,0.7409463388844832
6,1.4774429371808242,3.895449710950791,0.6146356783919598,0.7935500925191646
7,1.339085442162239,3.876944297967955,0.6538944723618091,0.796193497224425
8,1.202401116515324,3.8866990494677682,0.6878140703517588,0.7861485593444356
9,1.1225700080893946,3.856763579124628,0.7088567839195979,0.8250066085117631
10,1.0403294035387998,3.8441534501049532,0.7283291457286433,0.8252709489822891
11,0.9711907570635654,3.838872966000192,0.7443467336683417,0.8263283108643933
12,0.9554096494288101,3.8234172315980617,0.7502093802345059,0.8400740153317473
13,0.8857317121334412,3.8107612838704794,0.768425460636516,0.8509119746233148
14,0.8597397841700357,3.812225378088921,0.7738693467336684,0.8490615913296325
15,0.8576325185010382,3.819470400033995,0.778999162479062,0.830822098863336
16,0.7976788643067406,3.796542771018837,0.7935510887772195,0.8575204863864657
17,0.7556032989192848,3.81352538084631,0.8034966499162479,0.8369019296854349
18,0.7665236544494254,3.7889273690874936,0.801926298157454,0.8580491673275178
19,0.7271237403928136,3.7989896311568407,0.8098827470686767,0.8495902722706846
20,0.6983710441931807,3.800826193162301,0.8172110552763819,0.8443034628601639
21,0.6748747909113989,3.796716633105127,0.823178391959799,0.8540840602696272
22,0.6505046810961049,3.785770657702682,0.8352177554438861,0.8630716362675126
23,0.6308984390679916,3.791659833512901,0.83678810720268,0.8509119746233148
24,0.6150012062846916,3.791363542730158,0.8393006700167505,0.8551414221517314
25,0.5979871420405019,3.7831972265344342,0.8434882747068677,0.8643933386201428
26,0.5632661217870425,3.7898000214115006,0.8514447236180904,0.852233676975945
27,0.5600245592856726,3.7779478280791268,0.8554229480737019,0.8636003172085647
28,0.5344746365169784,3.786917672348829,0.8607621440536013,0.8577848268569918
29,0.534442357132383,3.7869103957936323,0.8610762144053601,0.8577848268569918
30,0.5245267384041294,3.7720710560836954,0.8650544388609716,0.8702088289717156
31,0.4951219810562916,3.766039356368793,0.8702889447236181,0.8752312979117103
32,0.5024579508944572,3.7687454062334833,0.8682998324958124,0.8760243193232884
33,0.4707376115785372,3.7663981319733955,0.879501675041876,0.8754956383822363
34,0.45712757777029545,3.7661312463167604,0.88107202680067,0.8765530002643405
35,0.4511004728912508,3.765707189386541,0.8823283082077052,0.8773460216759186
36,0.42614168948314496,3.764493629745903,0.8882956448911222,0.8821041501453872
37,0.39589850502197865,3.759672146266913,0.8961474036850922,0.8826328310864393
38,0.4132850863151814,3.7646908245933486,0.8970896147403685,0.8794607454401269
39,0.4085243789594577,3.7640590818941466,0.8966708542713567,0.8762886597938144
40,0.39091174698854414,3.767089571559656,0.897822445561139,0.872852233676976
41,0.37600636867871834,3.7600707473512935,0.9037897822445561,0.8794607454401269
42,0.3712519909219327,3.758573147005561,0.908500837520938,0.8836901929685435
43,0.35836419464405656,3.754567754193038,0.9105946398659966,0.8871266190853819
44,0.3452931615825075,3.755480814685781,0.9133165829145728,0.8855405762622257
45,0.3372898244079034,3.751029139593338,0.9125837520938024,0.8913560666137986
46,0.339614580411907,3.752320595069869,0.9143634840871022,0.8871266190853819
47,0.33812060742522004,3.7534883561648478,0.9141541038525963,0.8858049167327517
48,0.32798166636695814,3.751984425881448,0.9163525963149078,0.8887126619085381
49,0.3326514557103815,3.7536992557961137,0.9136306532663316,0.8860692572032778
50,0.3205523268386747,3.7508823463327032,0.9179229480737019,0.887655300026434
